OBSERVTN,MILPGAL,CYLINDER,DISPLACE,HORSPWR,ACCEL,YEAR,WEIGHT,COUNTRY,PRICE,COMPANY
73.00,19.10,6.00,225.00,90.00,18.70,90.00,3381.00,1.00,13800.00,3.00
74.00,34.30,4.00,97.00,78.00,15.80,90.00,2188.00,2.00,22600.00,4.00
75.00,29.80,4.00,134.00,90.00,15.50,90.00,2711.00,3.00,21000.00,4.00
76.00,31.30,4.00,120.00,75.00,17.50,90.00,2542.00,3.00,17700.00,4.00
77.00,37.00,4.00,119.00,92.00,15.00,90.00,2434.00,3.00,15200.00,4.00
78.00,32.20,4.00,108.00,75.00,15.20,90.00,2265.00,3.00,14900.00,4.00
79.00,46.60,4.00,86.00,65.00,17.90,90.00,2110.00,3.00,12400.00,4.00
80.00,27.90,4.00,156.00,105.00,14.40,90.00,2800.00,1.00,11800.00,3.00
81.00,40.80,4.00,85.00,65.00,19.20,90.00,2110.00,3.00,12200.00,4.00
82.00,44.30,4.00,90.00,48.00,21.70,90.00,2085.00,2.00,14600.00,4.00
83.00,43.40,4.00,90.00,48.00,23.70,90.00,2335.00,2.00,14300.00,4.00
84.00,36.40,5.00,121.00,67.00,19.90,90.00,2950.00,2.00,19000.00,4.00
85.00,30.40,4.00,146.00,67.00,21.80,90.00,3250.00,2.00,56100.00,4.00
86.00,44.60,4.00,91.00,67.00,13.80,90.00,1850.00,3.00,14700.00,4.00
87.00,40.90,4.00,85.00,,17.30,90.00,1835.00,2.00,9300.00,4.00
88.00,33.80,4.00,97.00,67.00,18.00,90.00,2145.00,3.00,13500.00,4.00
89.00,29.80,4.00,89.00,62.00,15.30,90.00,1845.00,2.00,27000.00,4.00
90.00,32.70,6.00,168.00,132.00,11.40,90.00,2910.00,3.00,31600.00,4.00
91.00,23.70,3.00,70.00,100.00,12.50,90.00,2420.00,3.00,28000.00,4.00
92.00,35.00,4.00,122.00,88.00,15.10,90.00,2500.00,2.00,19000.00,4.00
93.00,23.60,4.00,140.00,,14.30,90.00,2905.00,1.00,16000.00,2.00
94.00,32.40,4.00,107.00,72.00,17.00,90.00,2290.00,3.00,17800.00,4.00
95.00,27.20,4.00,135.00,84.00,15.70,91.00,2490.00,1.00,19400.00,3.00
96.00,26.60,4.00,151.00,84.00,16.40,91.00,2635.00,1.00,19700.00,1.00
97.00,25.80,4.00,156.00,92.00,14.40,91.00,2620.00,1.00,18800.00,3.00
98.00,23.50,6.00,173.00,110.00,12.60,91.00,2725.00,1.00,17200.00,1.00
99.00,30.00,4.00,135.00,84.00,12.90,91.00,2385.00,1.00,18600.00,3.00
100.00,39.10,4.00,79.00,58.00,16.90,91.00,1755.00,3.00,16600.00,4.00
101.00,39.00,4.00,86.00,64.00,16.40,91.00,1875.00,1.00,13400.00,3.00
102.00,35.10,4.00,81.00,60.00,16.10,91.00,1760.00,3.00,15000.00,4.00
103.00,32.30,4.00,97.00,67.00,17.80,91.00,2065.00,3.00,14800.00,4.00
104.00,37.00,4.00,85.00,65.00,19.40,91.00,1975.00,3.00,14100.00,4.00
105.00,37.70,4.00,89.00,62.00,17.30,91.00,2050.00,3.00,16900.00,4.00
106.00,34.10,4.00,91.00,68.00,16.00,91.00,1985.00,3.00,14900.00,4.00
107.00,34.70,4.00,105.00,63.00,14.90,91.00,2215.00,1.00,12800.00,3.00
108.00,34.40,4.00,98.00,65.00,16.20,91.00,2045.00,1.00,14400.00,2.00
109.00,29.90,4.00,98.00,65.00,20.70,91.00,2380.00,1.00,15400.00,2.00
110.00,33.00,4.00,105.00,74.00,14.20,91.00,2190.00,2.00,21600.00,4.00
111.00,34.50,4.00,100.00,,15.80,91.00,2320.00,2.00,17400.00,4.00
112.00,33.70,4.00,107.00,75.00,14.40,91.00,2210.00,3.00,21200.00,4.00
113.00,32.40,4.00,108.00,75.00,16.80,91.00,2350.00,3.00,17600.00,4.00
114.00,32.90,4.00,119.00,100.00,14.80,91.00,2615.00,3.00,22300.00,4.00
115.00,31.60,4.00,120.00,74.00,18.30,91.00,2635.00,3.00,21600.00,4.00
116.00,28.10,4.00,141.00,80.00,20.40,91.00,3230.00,2.00,33000.00,4.00
117.00,,4.00,121.00,110.00,15.40,91.00,2800.00,2.00,31900.00,4.00
118.00,30.70,6.00,145.00,76.00,19.60,91.00,3160.00,2.00,33200.00,4.00
119.00,25.40,6.00,168.00,116.00,12.60,91.00,2900.00,3.00,36900.00,4.00
120.00,24.20,6.00,146.00,120.00,13.80,91.00,2930.00,3.00,32500.00,4.00
121.00,22.40,6.00,231.00,110.00,15.80,91.00,3415.00,1.00,25700.00,1.00
122.00,26.60,8.00,350.00,105.00,19.00,91.00,3725.00,1.00,26500.00,1.00
123.00,20.20,6.00,200.00,88.00,17.10,91.00,3060.00,1.00,20800.00,2.00
124.00,17.60,6.00,225.00,85.00,16.60,91.00,3465.00,1.00,21500.00,3.00
125.00,28.00,4.00,112.00,88.00,19.60,92.00,2605.00,1.00,20100.00,1.00
126.00,27.00,4.00,112.00,88.00,18.60,92.00,2640.00,1.00,21000.00,1.00
127.00,34.00,4.00,112.00,88.00,18.00,92.00,2395.00,1.00,19700.00,1.00
128.00,31.00,4.00,112.00,85.00,16.20,92.00,2575.00,1.00,21600.00,1.00
129.00,29.00,4.00,135.00,84.00,16.00,92.00,2525.00,1.00,24000.00,3.00
130.00,27.00,4.00,151.00,90.00,18.00,92.00,2735.00,1.00,21600.00,1.00
131.00,24.00,4.00,140.00,92.00,16.40,92.00,2865.00,1.00,19900.00,2.00
132.00,23.00,4.00,151.00,,20.50,92.00,3035.00,1.00,19600.00,3.00
133.00,36.00,4.00,105.00,74.00,15.30,92.00,1980.00,2.00,19800.00,4.00
134.00,37.00,4.00,91.00,68.00,18.20,92.00,2025.00,3.00,18600.00,4.00
135.00,31.00,4.00,91.00,68.00,17.60,92.00,1970.00,3.00,19400.00,4.00
136.00,38.00,4.00,105.00,63.00,14.70,92.00,2125.00,1.00,16400.00,3.00
137.00,36.00,4.00,98.00,70.00,17.30,92.00,2125.00,1.00,17200.00,2.00
138.00,36.00,4.00,120.00,88.00,14.50,92.00,2160.00,3.00,24400.00,4.00
139.00,36.00,4.00,107.00,75.00,14.50,92.00,2205.00,3.00,25000.00,4.00
140.00,34.00,4.00,108.00,70.00,16.90,92.00,2245.00,3.00,20700.00,4.00
141.00,38.00,4.00,91.00,67.00,15.00,92.00,1965.00,3.00,17500.00,4.00
142.00,32.00,4.00,91.00,67.00,15.70,92.00,1965.00,3.00,18500.00,4.00
143.00,38.00,4.00,91.00,67.00,16.20,92.00,1995.00,3.00,19300.00,4.00
144.00,25.00,6.00,181.00,110.00,16.40,92.00,2945.00,1.00,28200.00,1.00
145.00,38.00,6.00,262.00,85.00,17.00,92.00,3015.00,1.00,28800.00,1.00
146.00,26.00,4.00,156.00,92.00,14.50,92.00,2585.00,1.00,23000.00,3.00
147.00,22.00,6.00,232.00,112.00,14.70,92.00,2835.00,1.00,23400.00,2.00
148.00,32.00,4.00,144.00,96.00,13.90,92.00,2665.00,3.00,29800.00,4.00
149.00,36.00,4.00,135.00,84.00,13.00,92.00,2370.00,1.00,20900.00,3.00
150.00,27.00,4.00,151.00,90.00,17.30,92.00,2950.00,1.00,32600.00,1.00
151.00,27.00,4.00,140.00,86.00,15.60,92.00,2790.00,1.00,22900.00,2.00
152.00,44.00,4.00,97.00,52.00,24.60,92.00,2130.00,2.00,19300.00,4.00
153.00,32.00,4.00,135.00,84.00,11.60,92.00,2295.00,1.00,21600.00,3.00
154.00,28.00,4.00,120.00,79.00,18.60,92.00,2625.00,1.00,18700.00,2.00
155.00,31.00,4.00,119.00,82.00,19.40,92.00,2720.00,1.00,23200.00,1.00
